SOURCE_ID,PropCancel,GiZScore,GiPValue,Gi_Bin,field_1,latitude_d,longitude_,elevation_,iata_code,NDeparture,NArrivals,Cancelled,PropCancel_2
234,0.024375743,-2.119255071,0.034068916,-2,29701,40.50899887,-122.2929993,505,RDD,1682,1685,41,0.024375743
235,0.007571345,-2.127850257,0.033349501,-2,29704,44.2541008,-121.1500015,3080,RDM,3434,3438,26,0.007571345
240,0.029350105,-3.106251356,0.001894756,-3,29732,41.5942,-109.065001,6764,RKS,954,953,28,0.029350105
241,0.010541052,-2.528257195,0.011463034,-2,29743,39.49909973,-119.7679977,4415,RNO,24286,24274,256,0.010541052
246,0.009212854,-1.817242354,0.069180012,-1,29768,26.53619957,-81.75520325,30,RSW,27136,27131,250,0.009212854
256,0.010470436,-2.881564924,0.003957057,-3,29869,47.449001,-122.308998,433,SEA,109069,109075,1142,0.010470436
257,0.019845363,-2.44326942,0.014554867,-2,29882,37.61899948,-122.375,13,SFO,140587,140579,2790,0.019845363
259,0.010244049,-2.721120874,0.006506097,-3,29893,37.036389,-113.510306,2941,SGU,3319,3317,34,0.010244049
262,0.014106693,-1.847356673,0.064695464,-1,29903,37.362598,-121.929001,62,SJC,57136,57143,806,0.014106693
264,0.010979886,-1.74188291,0.081528935,-1,47649,18.43939972,-66.00180054,9,SJU,21676,21691,238,0.010979886
265,0.007836878,-2.766364906,0.005668507,-3,29913,40.78839874,-111.9779968,4227,SLC,139086,139077,1090,0.007836878
266,0.002057613,-3.600486062,0.000317623,-3,29914,44.90950012,-123.0029984,214,SLE,486,484,1,0.002057613
267,0.009555941,-2.150673033,0.031502016,-2,29925,38.69540024,-121.5910034,27,SMF,53056,53049,507,0.009555941
274,0.009757739,-1.74188291,0.081528935,-1,47629,18.33729935,-64.9733963,23,STT,2972,2972,29,0.009757739
275,0.009174312,-1.74188291,0.081528935,-1,47630,17.70190048,-64.79859924,74,STX,436,436,4,0.009174312
276,0.062347614,-2.813351069,0.004902809,-3,29976,43.50439835,-114.2959976,5318,SUN,2871,2905,179,0.062347614
280,0.211340206,-2.440430404,0.014669772,-2,30059,37.9538002,-107.9079971,9070,TEX,194,194,41,0.211340206
289,0.022062879,-2.886749435,0.003892441,-3,30125,42.4818,-114.487999,4154,TWF,1813,1788,40,0.022062879
296,0.003787879,-1.988251712,0.046783858,-2,30303,44.68840027,-111.1179962,6649,WYS,264,264,1,0.003787879
299,0.008823529,-3.260894958,0.001110612,-3,30358,46.56819916,-120.5439987,1099,YKM,340,338,3,0.008823529
