SOURCE_ID,Cancelled,GiZScore,GiPValue,Gi_Bin,field_1,latitude_d,longitude_,elevation_,iata_code,NDeparture,NArrivals,Cancelled_2,PropCancel
144,11,2.725247468,0.006425331,3,27596,42.49100113,-76.45839691,1099,ITH,132,133,11,0.083333333
150,3196,3.096567112,0.001957755,3,27621,40.63980103,-73.77890015,13,JFK,118804,118802,3196,0.026901451
154,167,2.147802555,0.031729444,2,27733,42.77870178,-84.58740234,861,LAN,3693,3696,167,0.045220688
156,57,1.742490844,0.081422592,1,27736,34.56769943,-98.41660309,1110,LAW,2369,2366,57,0.024060785
160,294,2.839412754,0.004519665,3,27757,38.03649902,-84.60590363,979,LEX,10344,10338,294,0.028422274
162,5753,3.123371472,0.001787919,3,27761,40.77719879,-73.87259674,21,LGA,119135,119117,5753,0.048289755
169,111,1.975470837,0.048214741,2,27817,43.879002,-91.256699,655,LSE,2005,2005,111,0.055361596
170,2,2.290524129,0.021990952,2,27838,37.85829926,-80.39949799,2302,LWB,185,185,2,0.010810811
172,15,2.244474248,0.024801904,2,27850,37.3266983,-79.20040131,938,LYH,625,625,15,0.024
174,158,2.375410438,0.017529446,2,27932,43.53290176,-84.07959747,668,MBS,2918,2917,158,0.054146676
176,30,3.054529156,0.002254141,3,27942,32.69279861,-83.64920044,354,MCN,652,652,30,0.04601227
178,186,2.491600289,0.012716906,2,27953,40.19350052,-76.76339722,310,MDT,7594,7588,186,0.024493021
179,1246,2.18310407,0.029028147,2,27954,41.785999,-87.752403,620,MDW,87619,87600,1246,0.01422066
184,70,1.849103815,0.064442824,1,27974,32.30059814,-86.39399719,221,MGM,3851,3853,70,0.018177097
187,1200,1.852922624,0.06389345,1,27999,42.94720078,-87.89659882,723,MKE,42700,42687,1200,0.028103044
188,5,2.219384579,0.026460572,2,28000,43.16949844,-86.23819733,629,MKG,396,392,5,0.012626263
195,40,2.138447006,0.032480481,2,29846,46.35359955,-87.395401,1221,MQT,991,993,40,0.040363269
197,634,2.910085146,0.003613303,3,28071,43.13990021,-89.33750153,887,MSN,13961,13956,634,0.04541222
202,139,2.548460651,0.010819949,2,28113,33.67969894,-78.92829895,25,MYR,5335,5332,139,0.026054358
203,28,2.57944318,0.009895974,3,28263,34.82920074,-77.61209869,94,OAJ,1184,1184,28,0.023648649
210,15050,2.176262872,0.02953561,2,28334,41.9786,-87.9048,672,ORD,350380,350452,15050,0.042953365
211,303,2.627454172,0.008602643,3,28336,36.89459991,-76.20120239,26,ORF,16458,16455,303,0.018410499
217,112,2.627454172,0.008602643,3,28510,37.13190079,-76.49299622,42,PHF,6406,6409,112,0.017483609
218,1969,2.573294548,0.010073544,2,28514,39.87189865,-75.2410965,36,PHL,100499,100483,1969,0.019592235
220,300,2.271301291,0.023128745,2,28519,40.66419983,-89.69329834,660,PIA,5581,5582,300,0.053753808
223,759,2.464584963,0.013717204,2,28526,40.49150085,-80.23290253,1203,PIT,41800,41791,759,0.018157895
224,13,2.796325735,0.005168728,3,28537,45.57089996,-84.79669952,721,PLN,264,264,13,0.049242424
226,201,1.729831568,0.083660373,1,28552,30.47340012,-87.18659973,121,PNS,9497,9490,201,0.021164578
236,1253,2.449123197,0.014320446,2,29706,35.87760162,-78.78749847,435,RDU,60179,60186,1253,0.020821217
237,5,2.463929866,0.0137423,2,29710,42.19540024,-89.09719849,742,RFD,290,293,5,0.017241379
239,496,2.459984958,0.013894284,2,29717,37.50519943,-77.31970215,167,RIC,19977,19966,496,0.024828553
242,143,2.169752226,0.030025621,2,29747,37.3255,-79.975403,1175,ROA,3720,3718,143,0.03844086
243,432,2.898664935,0.003747551,3,29748,43.1189003,-77.67240143,559,ROC,14264,14253,432,0.030286035
249,361,2.111506074,0.034728836,2,29845,32.12760162,-81.20210266,50,SAV,13774,13774,361,0.026208799
251,327,1.854341621,0.063690301,1,29851,41.70869827,-86.31729889,799,SBN,5319,5320,327,0.061477721
254,28,2.547899638,0.010837364,2,30196,40.84930038,-77.84870148,1239,SCE,645,644,28,0.043410853
255,405,2.815601441,0.004868602,3,29865,38.1744,-85.736,501,SDF,22458,22448,405,0.018033663
270,110,1.771233415,0.076521895,1,29948,39.84410095,-89.67790222,598,SPI,1225,1229,110,0.089795918
278,53,2.968519668,0.00299238,3,29988,41.5041008,-74.10479736,491,SWF,4249,4245,53,0.012473523
279,310,2.833356829,0.004606194,3,29997,43.11119843,-76.10630035,421,SYR,12032,12036,310,0.025764628
281,119,2.370278334,0.017774699,2,30078,30.39649963,-84.35030365,81,TLH,5912,5913,119,0.020128552
282,82,2.013820604,0.044028372,2,30092,41.58679962,-83.80780029,683,TOL,1478,1476,82,0.055480379
284,57,2.037663181,0.041583629,2,30102,36.475201,-82.407401,1519,TRI,2117,2116,57,0.026924894
288,165,2.594797998,0.009464653,3,30118,44.74140167,-85.5821991,624,TVC,4262,4258,165,0.038714219
292,267,2.985613115,0.002830104,3,30132,35.81100082,-83.9940033,981,TYS,14004,13999,267,0.019065981
293,16,2.309374089,0.020922832,2,30233,30.78249931,-83.27670288,203,VLD,938,938,16,0.017057569
294,132,1.985469004,0.047092315,2,30241,30.4832,-86.525398,87,VPS,6820,6814,132,0.019354839
