SOURCE_ID,PropCancel,GiZScore,GiPValue,Gi_Bin,field_1,latitude_d,longitude_,elevation_,iata_code,NDeparture,NArrivals,Cancelled,PropCancel_2
112,0.01750547,3.750302168,0.000176622,3,27266,47.949299,-97.176102,845,GFK,1371,1371,24,0.01750547
113,0.039877301,2.049102027,0.040452139,2,27271,32.38399887,-94.71150208,365,GGG,978,972,39,0.039877301
117,0.046027743,3.605338318,0.000311747,3,27309,44.48509979,-88.12960052,695,GRB,7930,7929,365,0.046027743
118,0.035896062,1.693022074,0.090451266,1,27314,31.06719971,-97.8289032,1015,GRK,3733,3729,134,0.035896062
119,0.028346172,3.638756923,0.000273957,3,27317,42.88079834,-85.52279663,794,GRR,16616,16620,471,0.028346172
120,0.033559522,2.471618769,0.013450286,2,27320,36.09780121,-79.93730164,925,GSO,13558,13549,455,0.033559522
121,0.03525641,2.836506543,0.004561004,3,27321,34.89569855,-82.21890259,964,GSP,11856,11851,418,0.03525641
124,0.018672199,1.892584848,0.0584131,1,27327,33.45029831,-88.59140015,264,GTR,964,964,18,0.018672199
131,0.032291181,1.778373296,0.075342566,1,27443,41.06700134,-73.70760345,439,HPN,10715,10706,346,0.032291181
133,0.024835511,2.916549211,0.003539269,3,27466,34.6371994,-86.77510071,629,HSV,10791,10783,268,0.024835511
134,0.018987342,3.634363595,0.000278668,3,27470,38.36669922,-82.55799866,828,HTS,158,159,3,0.018987342
135,0.027317805,3.213209521,0.001312605,3,27536,38.94449997,-77.45580292,312,IAD,76031,76022,2077,0.027317805
137,0.032170819,3.986983986,6.69E-05,3,27543,37.649899,-97.433098,1333,ICT,14050,14046,452,0.032170819
140,0.017520468,3.572332123,0.000353816,3,27573,39.7173,-86.294403,797,IND,42750,42732,749,0.017520468
141,0.013888889,4.172014259,3.02E-05,3,27576,48.56620026,-93.40309906,1185,INL,72,72,1,0.013888889
143,0.006874202,1.679477334,0.093059053,1,27592,40.79520035,-73.10019684,99,ISP,10183,10180,70,0.006874202
144,0.083333333,4.415180343,1.01E-05,3,27596,42.49100113,-76.45839691,1099,ITH,132,133,11,0.083333333
150,0.026901451,1.672443039,0.094436991,1,27621,40.63980103,-73.77890015,13,JFK,118804,118802,3196,0.026901451
154,0.045220688,3.719332291,0.00019975,3,27733,42.77870178,-84.58740234,861,LAN,3693,3696,167,0.045220688
156,0.024060785,2.815898095,0.004864109,3,27736,34.56769943,-98.41660309,1110,LAW,2369,2366,57,0.024060785
158,0.012607589,2.002373415,0.045244585,2,27738,33.663601,-101.822998,3282,LBB,8249,8248,104,0.012607589
160,0.028422274,3.73920569,0.000184603,3,27757,38.03649902,-84.60590363,979,LEX,10344,10338,294,0.028422274
162,0.048289755,1.836136398,0.066337486,1,27761,40.77719879,-73.87259674,21,LGA,119135,119117,5753,0.048289755
165,0.021016332,2.186606663,0.028771251,2,27776,34.72940063,-92.22429657,262,LIT,15369,15372,323,0.021016332
167,0.02996378,3.746089544,0.000179613,3,27794,40.85100174,-96.75920105,1219,LNK,3037,3037,91,0.02996378
169,0.055361596,3.612319156,0.000303471,3,27817,43.879002,-91.256699,655,LSE,2005,2005,111,0.055361596
170,0.010810811,3.033443383,0.002417801,3,27838,37.85829926,-80.39949799,2302,LWB,185,185,2,0.010810811
172,0.024,3.003030232,0.002673059,3,27850,37.3266983,-79.20040131,938,LYH,625,625,15,0.024
174,0.054146676,3.816133265,0.000135559,3,27932,43.53290176,-84.07959747,668,MBS,2918,2917,158,0.054146676
175,0.014165403,3.907679945,9.32E-05,3,27940,39.2976,-94.713898,1026,MCI,59370,59361,841,0.014165403
178,0.024493021,3.578501119,0.00034557,3,27953,40.19350052,-76.76339722,310,MDT,7594,7588,186,0.024493021
179,0.01422066,3.346517177,0.000818336,3,27954,41.785999,-87.752403,620,MDW,87619,87600,1246,0.01422066
181,0.018755243,2.452131573,0.014201272,2,27959,35.04240036,-89.97669983,341,MEM,79871,79866,1498,0.018755243
187,0.028103045,3.231951833,0.001229478,3,27999,42.94720078,-87.89659882,723,MKE,42700,42687,1200,0.028103044
188,0.012626263,3.297121555,0.000976812,3,28000,43.16949844,-86.23819733,629,MKG,396,392,5,0.012626263
